submission_id,age,cups,where_drink,brew,brew_other,purchase,favorite,additions,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,education_level,employment_status,marital_status,number_children,household_income
gMR29l,18-24 years old,,,,,,Regular drip coffee,"('No - just black',)",,,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BkPN0e,25-34 years old,,,"('Pod/capsule machine (e.g. Keurig/Nespresso)',)",,,Iced coffee,"('Sugar or sweetener', 'No - just black')",,,Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W5G8jj,25-34 years old,,,"('Bean-to-cup machine',)",,,Regular drip coffee,"('No - just black',)",,,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4xWgGr,35-44 years old,,,"('Coffee brewing machine (e.g. Mr. Coffee)',)",,,Iced coffee,"('No - just black', 'Cinnamon')",,,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QD27Q8,25-34 years old,,,"('Pour over',)",,,Latte,"('No - just black',)",,,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V0LPeM,55-64 years old,,,"('Pod/capsule machine (e.g. Keurig/Nespresso)', 'Espresso', 'French press')",,,Iced coffee,"('Half & half',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V0Gaxg,18-24 years old,,"('At a cafe', 'At the office', 'At home', 'On the go')","('Pour over', 'French press', 'Espresso', 'Instant coffee', 'Pod/capsule machine (e.g. Keurig/Nespresso)')",,"('National chain (e.g. Starbucks / Dunkin)', 'Local cafe', 'Drive-thru', 'Specialty coffee shop', 'Other')",Pourover,"('No - just black',)",,,Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdzRL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LbWda2,25-34 years old,Less than 1,"('At a cafe',)",,,,Regular drip coffee,"('No - just black',)",,,Light,,,,,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
EXQLWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2eNLJg,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xpa2K9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V00RoJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7WWB4A,<18 years old,2,"('On the go', 'At a cafe', 'At home', 'At the office')","('Pour over', 'Coffee brewing machine (e.g. Mr. Coffee)', 'Espresso', 'Bean-to-cup machine')",,"('Local cafe', 'Specialty coffee shop')",Other,"('Milk, dairy alternative, or coffee creamer', 'Sugar or sweetener', 'Flavor syrup')",,,Full Bodied,Somewhat light,Light,Full caffeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pKL8aB,25-34 years old,1,"('At the office',)",,,,Pourover,"('No - just black',)",,,Fruity,Somewhat strong,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zd694B,<18 years old,3,"('At home', 'At the office', 'At a cafe')","('Pour over', 'Espresso', 'Instant coffee')",,,Pourover,"('No - just black', 'Milk, dairy alternative, or coffee creamer')","('Whole milk',)",,Bright,Medium,Light,Full caffeine,10,1,1,1,1,1,1,1,1,1,1,1,1,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,,,,,,,,,,Other (please specify),Bachelor's degree,Employed full-time,Living with a partner,More than 3,"Under $25,000"
